"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testUpdatingRCSEngage_contentTag_Type_Media","","","","","RCS_testUpdateRCSEngage_OnlyContentTags as longTextTag3",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testUpdateRCSEngage_OnlyContentAttribute_Type_Media","","","","","RCS_testUpdateRCSEngage_OnlyContentAttribute as combineTxtNumAttri",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCreatRCSEngage_ContentAttribute_Type_Media","","","","","RCS_testCreatRCSEngage_OnlyContentAttribute as onlyTextAttri",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCreateRCSEngage_OnlyContentTags","","","","","RCS_testCreateRCSEngage_OnlyContentTags as longTextTag3",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testCreatRCSEngage_ContentAttribute_Type_Media","","","","","RCS_testCreatRCSEngage_OnlyContentAttribute as withEmptyAttri",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","1","RCS_testCopyRCSEngage_OnlyMandatoryParam","","","","","RCS_testCopyRCSEngage_OnlyMandatoryParam as withNULLDEF31",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","1","RCS_testCopyRCSEngage_OnlyContentTags","","","","","RCS_testCopyRCSEngage_OnlyContentTags as onlyNumbersTag5",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","1","RCS_testCopyRCSEngage_OnlyContentAttribute_Type_Media","","","","","RCS_testCopyRCSEngage_OnlyContentAttribute as withNULLAttri",""
"passed","Fri Mar 08 17:18:51 GMT 2024","Fri Mar 08 17:22:24 GMT 2024","212519","Testing Creation of rcs engagement from channel flow","","","","","RCS_testCreatRCSEngageofGoalTypeTrack",""
"skipped","Fri Mar 08 17:24:04 GMT 2024","Fri Mar 08 17:24:04 GMT 2024","0","RCS_testUpdateRCSEngage_OnlyContentAttribute_Type_Media","","","","","RCS_testUpdateRCSEngage_OnlyContentAttribute as specialCharAttri",""
